parent_name,smiles,role,delta_g_kcal_mol,similarity,chembl_id,doi,source,reconstruction_mse
BI-4924,Cc1ccc(C(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,-4.53,72.54902124404907,CHEMBL1873897,10.1021/acs.jmedchem.0c00892,anchor,1.2989753717107533e-10
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,analog,-4.21,72.22222089767456,CHEMBL455978,10.1038/nchembio.2070,anchor,2.3818145372667132e-11
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1,analog,-4.71,72.22222089767456,CHEMBL4472939,10.1038/nchembio.2070,anchor,5.181147524901952e-11
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccccc2)cc1,analog,-4.23,71.42857313156128,CHEMBL1491346,10.1038/nchembio.2070,anchor,4.6799019520760154e-11
Disulfiram,CCSSC(=S)N(CC)CC,analog,-2.29,71.42857313156128,CHEMBL4224759,10.3390/molecules24142545,anchor,4.0264871992157225e-10
NCT-503,CCC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,analog,-4.5,71.05262875556946,CHEMBL1997269,10.1038/nchembio.2070,anchor,1.2040467234353258e-10
NCT-503,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1,analog,-5.8,70.96773982048035,CHEMBL254426,10.1038/nchembio.2070,anchor,9.051878135934999e-10
NCT-503,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(Cl)cc1,analog,-4.29,70.96773982048035,CHEMBL183220,10.1038/nchembio.2070,anchor,4.698352470966505e-11
BI-4924,Cc1ccc(NC(=O)c2ccc(S(=O)(=O)NCC3CCCO3)cc2)cc1,analog,-4.57,70.90908885002136,CHEMBL1495360,10.1021/acs.jmedchem.0c00892,anchor,1.926686865605376e-10
BI-4924,Cc1ccc(NS(=O)(=O)c2ccc(OCC(=O)NCC3CCCO3)cc2)cc1,analog,-5.09,70.68965435028076,CHEMBL1717513,10.1021/acs.jmedchem.0c00892,anchor,7.272166757665843e-10
BI-4924,Cc1cccc(NS(=O)(=O)c2ccc(C(=O)NCC3CCCO3)cc2)c1C,analog,-5.1,70.17543911933899,CHEMBL1341738,10.1021/acs.jmedchem.0c00892,anchor,2.8060678780583714e-10
NCT-503,CSc1ccc(S(=O)(=O)Nc2ccc(NC(C)=O)cc2)cc1,analog,-4.58,68.42105388641357,CHEMBL1443566,10.1038/nchembio.2070,anchor,7.393773093777867e-11
NCT-503,COc1ccc(S(=O)(=O)Nc2ccc(NC(C)=O)cc2)cc1,analog,-4.49,68.42105388641357,CHEMBL1500505,10.1038/nchembio.2070,anchor,5.911680173165124e-11
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Nc3ccccc3)cc2)cc1,analog,-5.03,68.42105388641357,CHEMBL1607166,10.1038/nchembio.2070,anchor,1.1126802951233472e-10
BI-4924,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC2CCCO2)cc1,analog,-4.65,68.42105388641357,CHEMBL1573759,10.1021/acs.jmedchem.0c00892,anchor,4.06545352937826e-11
BI-4924,Cc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,-4.92,68.42105388641357,CHEMBL1347675,10.1021/acs.jmedchem.0c00892,anchor,3.34103050780854e-10
Disulfiram,CCN(CC)C(=S)SC(=S)N(CC)CC,analog,-2.45,68.42105388641357,CHEMBL2004297,10.3390/molecules24142545,anchor,4.3883896516661025e-10
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cn2)cc1,analog,-4.68,68.29268336296082,CHEMBL1865922,10.1038/nchembio.2070,anchor,6.701870308711833e-11
Disulfiram,CCN(CCO)C(=S)SSC(=S)N(CC)CCO,analog,-1.98,68.18181872367859,CHEMBL4858425,10.3390/molecules24142545,anchor,1.3108258922756022e-09
NCT-503,CC(=O)Nc1ccc(Cl)cc1,analog,-3.82,67.7419364452362,CHEMBL15991,10.1038/nchembio.2070,anchor,3.208257617903776e-11
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)NCC(=O)Nc2ccc(Cl)cc2)cc1,analog,-4.79,67.5000011920929,CHEMBL3793965,10.1038/nchembio.2070,anchor,4.262394603937736e-11
BI-4924,CCCNS(=O)(=O)c1ccc(C(=O)NCC2CCCO2)cc1,analog,-4.4,67.27272868156433,CHEMBL1549405,10.1021/acs.jmedchem.0c00892,anchor,1.2413078898099172e-10
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2cccc([N+](=O)[O-])c2)cc1,analog,-5.16,67.21311211585999,CHEMBL1418324,10.1021/acs.jmedchem.0c00892,anchor,4.898739747183356e-10
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1,analog,-5.57,66.66666865348816,CHEMBL493636,10.1038/nchembio.2070,anchor,1.2038227359401077e-10
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C#N)cc2)cc1,analog,-4.97,66.66666865348816,CHEMBL4100318,10.1038/nchembio.2070,anchor,1.3293435796590813e-10
NCT-503,CNC(=S)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,analog,-4.75,66.66666865348816,CHEMBL246556,10.1038/nchembio.2070,anchor,4.823590971092528e-10
Disulfiram,CCN(CC)CC(=S)SSC(=S)N(CC)CC,analog,-2.59,66.66666865348816,CHEMBL5417591,10.3390/molecules24142545,anchor,1.1726788429200496e-09
