parent_name,smiles,role,similarity,chembl_id,doi,source_query
NCT-503,O=C(O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,analog,64.86486196517944,CHEMBL390844,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)c2ccc(Cl)cc2)cc1,analog,64.4444465637207,CHEMBL472303,10.1038/nchembio.2070,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(C(=O)NCC2CCCO2)cc1,analog,63.82978558540344,CHEMBL1365680,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1cccc(NS(=O)(=O)c2ccccc2)c1,analog,63.79310488700867,CHEMBL1731214,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1cccc(S(=O)(=O)Nc2ccc(F)cc2)c1,analog,63.333332538604736,CHEMBL1883301,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1cccc(NS(=O)(=O)c2ccc(Br)cc2)c1,analog,63.333332538604736,CHEMBL1702809,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,COc1ccc(NS(=O)(=O)c2cccc(C(=O)NCC3CCCO3)c2)cc1,analog,62.90322542190552,CHEMBL1892825,10.1021/acs.jmedchem.0c00892,chembl_similarity
Disulfiram,CCN(CC)C(=S)SSCCO,analog,62.5,CHEMBL1094278,10.3390/molecules24142545,chembl_similarity
BI-4924,Cc1ccc(S(=O)(=O)Nc2cccc(C(=O)NCC3CCCO3)c2)cc1F,analog,61.90476417541504,CHEMBL1400227,10.1021/acs.jmedchem.0c00892,chembl_similarity
Disulfiram,CCCN(CCC)C(=S)SSC(=S)N(CCC)CCC,analog,61.90476417541504,CHEMBL4757113,10.3390/molecules24142545,chembl_similarity
Disulfiram,CCN(CC)C(=S)SCSC(=S)N(CC)CC,analog,61.90476417541504,CHEMBL570813,10.3390/molecules24142545,chembl_similarity
PKUMDL-WQ-2247,Fc1ccc(Nc2nc(NC3CCCC3)nc3[nH]ncc23)cc1,analog,61.53846383094787,CHEMBL2393263,10.1021/acs.jmedchem.8b00789,chembl_similarity
BI-4924,CCOc1ccc(S(=O)(=O)Nc2cccc(C(=O)NCC3CCCO3)c2)cc1,analog,60.9375,CHEMBL1515220,10.1021/acs.jmedchem.0c00892,chembl_similarity
PKUMDL-WQ-2247,Fc1ccc(Nc2nc(NC3CCCCC3)nc3[nH]ncc23)cc1,analog,60.37735939025879,CHEMBL2393262,10.1021/acs.jmedchem.8b00789,chembl_similarity
Disulfiram,CCN(CC)C(=S)SSCC(C)C,analog,60.00000238418579,CHEMBL4226712,10.3390/molecules24142545,chembl_similarity
Disulfiram,CCC(C)SSC(=S)N(CC)CC,analog,60.00000238418579,CHEMBL1098280,10.3390/molecules24142545,chembl_similarity
Disulfiram,CCCCSSC(=S)N(CC)CC,analog,60.00000238418579,CHEMBL1098279,10.3390/molecules24142545,chembl_similarity
Disulfiram,CCCCCCCCCCCCCCCCN(CC)C(=S)SSC(=S)N(CC)CCCCCCCCCCCCCC,analog,60.00000238418579,CHEMBL567397,10.3390/molecules24142545,chembl_similarity
